Country Code,Country Name,GDP Growth
ABW,Aruba,10.45831735
AFE,Africa Eastern and Southern,3.554422329
AFG,Afghanistan,-6.240171992
AFW,Africa Western and Central,3.784485678
AGO,Angola,3.04540301
ALB,Albania,4.856401652
AND,Andorra,9.563797527
ARB,Arab World,5.793108985
ARE,United Arab Emirates,7.850418123
ARG,Argentina,4.95636996
ARM,Armenia,12.6
ASM,American Samoa,1.735015773
ATG,Antigua and Barbuda,9.516395644
AUS,Australia,4.268946393
AUT,Austria,4.806430202
AZE,Azerbaijan,4.714802365
BDI,Burundi,1.848999439
BEL,Belgium,3.014721975
BEN,Benin,6.253244914
BFA,Burkina Faso,1.777915438
BGD,Bangladesh,7.099828776
BGR,Bulgaria,3.926432221
BHR,Bahrain,4.891500207
BHS,"Bahamas, The",10.7820132
BIH,Bosnia and Herzegovina,4.226811011
BLR,Belarus,-4.658244891
BLZ,Belize,8.734311438
BMU,Bermuda,6.431133996
BOL,Bolivia,3.605680426
BRA,Brazil,3.016694354
BRB,Barbados,13.48086157
BRN,Brunei Darussalam,-1.628331545
BTN,Bhutan,5.213867838
BWA,Botswana,5.486028178
CAF,Central African Republic,0.502110003
CAN,Canada,3.819866339
CEB,Central Europe and the Baltics,4.247073127
CHE,Switzerland,2.568328178
CHI,Channel Islands,7.805178745
CHL,Chile,2.058740081
CHN,China,2.989084086
CIV,Cote d'Ivoire,6.217850913
CMR,Cameroon,3.582796319
COD,"Congo, Dem. Rep.",8.924447626
COG,"Congo, Rep.",1.475356132
COL,Colombia,7.288883887
COM,Comoros,2.387678485
CPV,Cabo Verde,17.43907944
CRI,Costa Rica,4.55149178
CSS,Caribbean small states,22.47821734
CUB,Cuba,1.774853995
CUW,Curacao,7.9
CYM,Cayman Islands,5.15632992
CYP,Cyprus,5.058128008
CZE,Czechia,2.35100354
DEU,Germany,1.806208967
DJI,Djibouti,3.72857647
DMA,Dominica,5.583546263
DNK,Denmark,2.731174454
DOM,Dominican Republic,4.858324036
DZA,Algeria,3.6
EAP,East Asia & Pacific (excluding high income),3.413617869
EAR,Early-demographic dividend,5.582759728
EAS,East Asia & Pacific,2.88602958
ECA,Europe & Central Asia (excluding high income),3.077615681
ECS,Europe & Central Asia,3.157498664
ECU,Ecuador,6.186139073
EGY,"Egypt, Arab Rep.",6.587845609
EMU,Euro area,3.426121239
ERI,Eritrea,
ESP,Spain,5.770647676
EST,Estonia,-0.461002668
ETH,Ethiopia,5.321176284
EUU,European Union,3.478653735
FCS,Fragile and conflict affected situations,1.463396967
FIN,Finland,1.335467305
FJI,Fiji,20.01646416
FRA,France,2.454758177
FRO,Faroe Islands,5.398480389
FSM,"Micronesia, Fed. Sts.",-0.778210117
GAB,Gabon,2.967741644
GBR,United Kingdom,4.345228834
GEO,Georgia,10.95853214
GHA,Ghana,3.817504621
GIB,Gibraltar,
GIN,Guinea,4.7
GMB,"Gambia, The",4.917821309
GNB,Guinea-Bissau,4.199990232
GNQ,Equatorial Guinea,3.716010594
GRC,Greece,5.55728708
GRD,Grenada,7.320740616
GRL,Greenland,
GTM,Guatemala,4.118004169
GUM,Guam,5.099864262
GUY,Guyana,63.43986437
HIC,High income,2.641586105
HKG,"Hong Kong SAR, China",-3.680752922
HND,Honduras,4.14356194
HPC,Heavily indebted poor countries (HIPC),4.796360999
HRV,Croatia,7.027225888
HTI,Haiti,-1.681983969
HUN,Hungary,4.583407673
IBD,IBRD only,3.601688625
IBT,IDA & IBRD total,3.653546061
IDA,IDA total,4.310298531
IDB,IDA blend,4.215491032
IDN,Indonesia,5.307419348
IDX,IDA only,4.395917127
IMN,Isle of Man,
IND,India,6.987039326
INX,Not classified,
IRL,Ireland,9.43302211
IRN,"Iran, Islamic Rep.",3.776631402
IRQ,Iraq,7.639811402
ISL,Iceland,8.881307745
ISR,Israel,6.832886636
ITA,Italy,3.985897443
JAM,Jamaica,5.221519852
JOR,Jordan,2.428073305
JPN,Japan,0.954736938
KAZ,Kazakhstan,3.2
KEN,Kenya,4.846634856
KGZ,Kyrgyz Republic,8.9675052
KHM,Cambodia,5.239810289
KIR,Kiribati,3.857566766
KNA,St. Kitts and Nevis,10.52284928
KOR,"Korea, Rep.",2.612672192
KWT,Kuwait,6.138252785
LAC,Latin America & Caribbean (excluding high income),3.877052645
LAO,Lao PDR,2.707426526
LBN,Lebanon,-0.621678971
LBR,Liberia,4.808105173
LBY,Libya,1.336148097
LCA,St. Lucia,18.07538
LCN,Latin America & Caribbean,3.987930947
LDC,Least developed countries: UN classification,4.630417956
LIC,Low income,3.736941965
LIE,Liechtenstein,
LKA,Sri Lanka,-7.346764384
LMC,Lower middle income,5.822306681
LMY,Low & middle income,3.849025192
LSO,Lesotho,1.285504125
LTE,Late-demographic dividend,3.177512741
LTU,Lithuania,2.440175465
LUX,Luxembourg,1.380185891
LVA,Latvia,2.954731771
MAC,"Macao SAR, China",-21.40195058
MAF,St. Martin (French part),
MAR,Morocco,1.258543984
MCO,Monaco,11.09682628
MDA,Moldova,-5.015482319
MDG,Madagascar,3.796199089
MDV,Maldives,13.90667638
MEA,Middle East & North Africa,5.748362666
MEX,Mexico,3.948999999
MHL,Marshall Islands,-0.675525739
MIC,Middle income,3.85059249
MKD,North Macedonia,2.221705271
MLI,Mali,3.474951711
MLT,Malta,8.075539118
MMR,Myanmar,4.037493436
MNA,Middle East & North Africa (excluding high income),4.41129157
